Gene ID,0.5_lowLight,2_lowLight,4_lowLight,6_lowLight,8_lowLight,9_lowLight,10_lowLight,12_lowLight,0.5_ClearLight,2_ClearLight,4_ClearLight,6_ClearLight,8_ClearLight,9_ClearLight,10_ClearLight,12_ClearLight
 Synpcc7942_0001 ,1.17,1.23,1.18,1.08,1.08,1.31,1.41,1.48,0.78,1.28,1.20,1.16,1.05,0.99,1.04,1.71
 Synpcc7942_0002 ,0.46,0.31,0.29,0.27,0.34,0.42,0.45,0.42,0.48,0.38,0.37,0.39,0.37,0.36,0.39,0.75
 Synpcc7942_0003 ,0.69,0.98,0.76,0.76,0.70,0.76,0.79,0.89,0.67,1.02,1.01,0.94,0.81,0.80,0.82,0.89
 Synpcc7942_0004 ,2.18,2.47,1.98,1.61,1.01,0.93,0.83,0.72,3.44,2.58,2.47,1.72,1.05,0.90,0.86,0.77
 Synpcc7942_0005 ,0.07,0.04,0.09,0.20,0.25,0.23,0.23,0.21,0.07,0.04,0.05,0.10,0.26,0.33,0.31,0.25
 Synpcc7942_0006 ,0.38,0.23,0.24,0.28,0.30,0.21,0.17,0.20,0.44,0.18,0.18,0.21,0.21,0.20,0.16,0.11
 Synpcc7942_0007 ,0.81,0.50,0.58,0.73,0.68,0.44,0.51,0.45,0.77,0.45,0.53,0.53,0.54,0.57,0.44,0.46
 Synpcc7942_0008 ,0.97,0.70,0.75,0.98,0.88,0.70,0.65,0.62,0.84,0.45,0.49,0.55,0.61,0.60,0.57,0.60
 Synpcc7942_0009 ,0.96,1.30,1.12,0.91,0.65,0.69,0.78,0.80,0.66,2.32,1.94,1.66,1.18,0.94,0.81,0.54
 Synpcc7942_0010 ,0.56,0.53,0.63,0.66,0.70,0.59,0.51,0.58,0.48,0.48,0.47,0.55,0.69,0.65,0.61,0.88
 Synpcc7942_0011 ,0.96,1.04,1.05,1.04,0.72,0.66,0.64,0.70,1.01,0.71,0.70,0.73,0.69,0.78,0.51,0.39
 Synpcc7942_0012 ,4.35,6.57,4.95,4.73,5.14,5.67,6.78,6.63,2.28,12.64,7.71,7.99,5.87,5.14,4.61,4.53
 Synpcc7942_0013 ,2.15,0.21,1.82,4.62,3.15,2.10,1.78,1.57,0.18,0.19,1.55,1.84,1.76,2.19,2.10,1.62
 Synpcc7942_0014 ,0.26,0.43,0.55,0.69,0.70,0.54,0.58,0.23,0.43,0.34,0.34,0.45,0.58,0.73,0.61,0.65
 Synpcc7942_0015 ,0.05,0.05,0.06,0.07,0.08,0.09,0.09,0.10,0.06,0.07,0.04,0.04,0.05,0.05,0.07,0.12
 Synpcc7942_0016 ,0.08,0.11,0.13,0.17,0.16,0.09,0.11,0.13,0.09,0.07,0.08,0.07,0.10,0.10,0.08,0.11
 Synpcc7942_0017 ,0.16,0.13,0.09,0.07,0.07,0.09,0.09,0.14,0.13,0.24,0.16,0.14,0.10,0.07,0.11,0.05
 Synpcc7942_0018 ,0.57,0.68,0.56,0.51,0.43,0.47,0.53,0.62,0.38,1.07,0.89,0.84,0.68,0.59,0.47,0.28
 Synpcc7942_0019 ,0.46,0.48,0.42,0.56,0.97,1.42,1.31,1.14,0.42,0.95,0.75,0.75,0.88,1.01,1.15,1.03
 Synpcc7942_0020 ,0.24,0.21,0.16,0.17,0.33,0.52,0.45,0.45,0.20,0.43,0.29,0.29,0.31,0.39,0.37,0.24
 Synpcc7942_0021 ,0.11,0.10,0.12,0.18,0.13,0.09,0.07,0.08,0.14,0.10,0.11,0.13,0.16,0.14,0.11,0.06
 Synpcc7942_0022 ,0.26,0.24,0.39,0.45,0.37,0.22,0.20,0.18,0.26,0.20,0.29,0.29,0.38,0.33,0.25,0.15
 Synpcc7942_0023 ,0.18,0.29,0.47,0.55,0.38,0.21,0.16,0.16,0.23,0.22,0.33,0.38,0.43,0.43,0.27,0.14
